pressure,altitude,temperature,timestamp
999.962891,111.249748,5,90511
1000.051514,109.690887,5,90569
1000.034912,111.110519,4,90630
999.938232,111.404221,5,90682
1000.055176,110.420494,4,90708
999.984131,111.018036,5,90734
999.948242,110.683189,5,90760
1000.063232,110.633896,4,90820
1000.086182,111.044968,4,90877
999.87793,111.911369,4,90937
999.982666,111.030235,4,90984
1000.069336,110.300583,4,91010
1000.054688,110.424561,4,91037
1000.020508,110.769562,4,91063
1000.071045,110.459106,4,91125
1000.098145,110.058731,4,91172
1000.122803,110.118179,3,91198
1000.091064,110.118179,4,91225
1000.086426,111.18013,3,91251
999.989502,110.972816,3,91311
999.999756,110.886436,3,91360
1000.033447,110.603409,3,91386
1000.050293,110.461143,3,91412
1000.029297,110.430145,3,91438
1000.077148,110.732475,3,91498
1000.028809,110.642029,3,91546
1000.090332,110.124786,3,91572
1000.056885,110.405762,3,91599
1000.005859,111.061226,3,91625
999.907471,111.662872,3,91685
1000.023193,110.689285,3,91732
1000.013672,110.769562,4,91758
1000.046875,110.490105,4,91785
1000.008057,110.502808,4,91811
999.984863,111.01194,4,91871
1000.020508,110.712151,4,91919
999.89209,111.792458,4,91945
1000.054688,110.424561,4,91972
999.961182,109.937302,4,91998
1000.045654,110.239609,5,92059
999.927246,111.496704,5,92120
1000.125977,109.82502,5,92147
1000.040771,110.54142,5,92173
1000.005859,110.835114,5,92199
999.999756,110.568352,5,92225
1000.033447,110.015549,5,92281
999.981201,111.042938,5,92331
1000.070068,110.294991,5,92357
999.979492,111.056656,5,92383
1000.04834,111.182167,5,92409
1000.077148,109.442444,5,92469
1000.022705,110.167465,6,92530
1000.011963,110.783791,6,92573
999.985596,111.005333,6,92599
999.953613,111.275154,6,92626
1000.037842,110.385437,6,92652
1000.088379,110.371208,6,92712
999.981445,111.094261,6,92769
1000.010986,110.791924,6,92830
1000.091309,110.11615,7,92877
999.992432,110.948425,7,92904
1000.117188,109.898689,7,92930
1000.037109,110.633896,7,92956
1000.039551,110.732475,8,93016
999.936523,111.344772,8,93073
1000.032227,110.3834,8,93133
999.998535,110.897102,8,93181
1000.038086,110.563782,8,93207
1000.054932,110.422523,8,93234
1000.039063,110.494171,8,93260
999.995117,110.475876,8,93320
1000.120117,110.126816,8,93380
999.999756,110.886436,8,93436
999.984863,111.01194,8,93484
999.932617,111.450974,8,93510
1000.048096,110.479431,8,93536
1000.006348,111.291412,8,93562
1000.122803,110.773628,8,93623
1000.02417,111.034302,8,93683
999.990967,110.960617,9,93743
1000.079834,110.212685,9,93786
1000.048584,110.475876,9,93812
